pattern,canonical_agent,drug_class,category_hint,source
\brif(ampi[nc]|ampicin|\b|amp|\d)|\brmp\b|\brif\b|rifapentine|rifabutin|\brfb\b|streptolydigin,rifamycin,rna_polymerase_inhibitor,drug,general
\bisoniazi?d\b|\binh\b|\bethionamide\b|\beth?a\b|\betio\b,isoniazid/ethionamide,cell_wall_synthesis_inhibitor,drug,general
\bethambutol\b|\bemb\b,ethambutol,cell_wall_synthesis_inhibitor,drug,general
cyclo[- ]?serine|\bdcs\b,D-cycloserine,cell_wall_synthesis_inhibitor,drug,general
meropenem|cephalexin|\bceph\b|amoxicillin|clavulan|ampicillin|penicillin|\bcarbapenem,beta-lactam,cell_wall_synthesis_inhibitor,drug,general
vancomycin|\bvan\b,vancomycin,cell_wall_synthesis_inhibitor,drug,general
\bsq109\b|\bsq[- ]109\b|mmpl3,SQ109,cell_wall_synthesis_inhibitor,drug,general
thiacetazone|\btac\b|triclosan|\bthl\b,thiacetazone/triclosan,cell_wall_synthesis_inhibitor,drug,general
delamanid|pretomanid|\bpa[- ]?824\b|\bopc[- ]?67683\b|nitroimidazo,nitroimidazole,cell_wall_synthesis_inhibitor,drug,general
streptomycin|\bstr\b|\bstrep\b|amikacin|\bamk\b|kanamycin|\bkan\b|gentamicin|capreomycin|\bcap\b|viomycin|apramycin|hygromycin,aminoglycoside/cyclic peptide,protein_synthesis_inhibitor,drug,general
linezolid|\blzd\b|oxazolidinone|sutezolid,oxazolidinone,protein_synthesis_inhibitor,drug,general
erythromycin|clarithromycin|azithromycin|\bmacrolide,macrolide,protein_synthesis_inhibitor,drug,general
tetracyclin|doxycyclin|\bdoxy\b|minocyclin|tigecyclin|chloramphenicol|\bcam\b|spectinomycin|fusidic|puromycin|thiostrepton,other translation inhibitor,protein_synthesis_inhibitor,drug,general
moxifloxacin|\bmxf\b|\bmoxi\b|levofloxacin|\blvf\b|\blvx\b|ciprofloxacin|\bcip\b|\bcpf\b|ofloxacin|\bofx\b|gatifloxacin|sparfloxacin|norfloxacin|fluoroquinolon|\bnovobiocin\b|nalidixic,fluoroquinolone/gyrase,dna_gyrase_inhibitor,drug,general
mitomycin|mithramycin|\bmtm\b|\buv\b|\bmms\b|bleomycin|hydroxyurea|\bhu\b|nitrofuran,DNA damage,dna_damaging_agent,drug,general
bedaquiline|\bbdq\b|\btmc207\b|\bq203\b|telacebec|qcrb|clofazimine|\bcfz\b|thioridazine|chlorpromazine|\bcccp\b|\bdnp\b|nigericin|valinomycin|\bkcn\b|cyanide|sodium azide|rotenone|uncoupl|protonophore,energy metabolism,energy_metabolism_inhibitor,drug,general
para[- ]?amino ?salicyl|\bpas\b|sulfamethoxazole|\bsmx\b|sulfanilamide|sulfadiazine|trimethoprim|\btmp\b|dapsone,folate pathway,folate_pathway_inhibitor,drug,general
\bpolymyxin\b|\bchlorhexidine\b|\bcationic peptide|\bcerulenin\b|\bnisin\b,membrane-active antimicrobial,membrane_disruptor,drug,general
h2o2|hydrogen peroxide|menadione|plumbagin|diamide|paraquat|cumene|\bt[- ]?bhp\b|deta[/ ]?no|\bgsno\b|\bsnp\b|sodium nitrite|nitric oxide|\bno\b donor,oxidant/NO donor,redox_or_oxidative_agent,environment,general
verapamil|reserpine|piperine|efflux inhibitor,efflux inhibitor,efflux_pump_inhibitor,drug,general
5[- ]?fluorouracil|\b5fu\b|azauracil|nicotinamide|\bnam\b|benzamide|\bbza\b|amino acid analog|\bserine hydroxamate\b,antimetabolite,antimetabolite,drug,general
pyrazinamide|\bpza\b|pyrazinoic,pyrazinamide,other_defined_mechanism,drug,general
\bascorb|vitamin ?c\b|\bvit ?c\b,ascorbate/vitamin C,redox_or_oxidative_agent,environment,general
\bcdri[- ]?\d*\w*\b,CDRI-5g,unknown_mechanism,drug,GSE29166
\batd[- ]?\d*\b,ATD-3169,redox_or_oxidative_agent,drug,GSE61618
\b(dem|dmm|wr)\b,antifolate (DEM/DMM/WR),folate_pathway_inhibitor,drug,GSE55979
\b[mp]fd\b,MFD/PFD,unknown_mechanism,drug,GSE45811
\bsds\b|sodium dodecyl|\btriton\b|\btween\b|deoxycholate|\bdoc\b|\bdetergent\b,detergent (SDS/Triton/deoxycholate/Tween),membrane_disruptor,environment,general
